"xt" "yt"
"1" 33 0.1585
"2" 34 0.1668
"3" 35 0.1745
"4" 36 0.1553
"5" 37 0.1477
"6" 38 0.1552
"7" 39 0.1448
"8" 40 0.1353
"9" 41 0.1352
"10" 42 0.1123
"11" 43 0.1053
"12" 44 0.0934
"13" 45 0.0924
"14" 46 0.0956
"15" 47 0.0953
"16" 48 0.1091
"17" 49 0.0875
"18" 50 0.075
"19" 54 0.081
"20" 55 0.0865
"21" 56 0.102
"22" 57 0.1087
"23" 58 0.1026
"24" 59 0.1087
"25" 60 0.122
"26" 61 0.1283
"27" 62 0.122
"28" 63 0.122
"29" 64 0.1251
"30" 65 0.1255
"31" 68 0.1231
"32" 69 0.1263
"33" 70 0.1425
"34" 71 0.149
"35" 72 0.149
"36" 73 0.1689
"37" 74 0.1756
"38" 75 0.1655
"39" 76 0.1655
"40" 77 0.1589
"41" 78 0.1655
"42" 85 0.1749
"43" 86 0.1749
"44" 87 0.1691
"45" 88 0.1589
"46" 89 0.1623
"47" 90 0.1556
"48" 91 0.1522
"49" 92 0.146
"50" 93 0.1422
"51" 94 0.1319
"52" 95 0.1254
"53" 96 0.1228
"54" 97 0.1298
"55" 98 0.1265
"56" 99 0.1298
"57" 100 0.1397
"58" 101 0.1431
"59" 102 0.1498
"60" 106 0.1498
"61" 107 0.1498
"62" 108 0.1464
"63" 109 0.1431
"64" 110 0.1356
"65" 111 0.1352
"66" 112 0.1381
"67" 113 0.1343
"68" 114 0.1254
"69" 115 0.1323
"70" 119 0.1376
"71" 120 0.1397
"72" 121 0.1425
"73" 122 0.1453
"74" 123 0.142
"75" 124 0.142
"76" 125 0.1388
"77" 126 0.1291
"78" 127 0.1279
"79" 128 0.1311
"80" 129 0.1355
"81" 137 0.1192
"82" 138 0.1255
"83" 139 0.1192
"84" 140 0.1255
"85" 141 0.1255
"86" 142 0.122
"87" 143 0.122
"88" 144 0.1192
"89" 145 0.1216
"90" 146 0.1216
"91" 147 0.1248
"92" 148 0.1307
"93" 149 0.1307
"94" 150 0.1279
"95" 151 0.1251
"96" 152 0.122
"97" 153 0.124
"98" 154 0.124
"99" 158 0.1184
"100" 159 0.1181
"101" 160 0.1292
"102" 161 0.1261
"103" 162 0.1416
"104" 163 0.1384
"105" 164 0.1538
"106" 165 0.1346
"107" 166 0.1461
"108" 167 0.1542
"109" 168 0.1596
"110" 169 0.1568
"111" 170 0.194
"112" 174 0.2076
"113" 175 0.2562
"114" 176 0.259
"115" 177 0.2534
"116" 178 0.2617
"117" 179 0.2645
"118" 180 0.244
"119" 181 0.2412
"120" 182 0.2467
"121" 187 0.2384
"122" 190 0.2291
"123" 191 0.24
"124" 192 0.2373
"125" 193 0.2425
"126" 194 0.2371
"127" 195 0.249
"128" 196 0.2445
"129" 197 0.2582
"130" 198 0.2926
"131" 199 0.2746
"132" 200 0.2795
"133" 201 0.2755
"134" 202 0.2757
"135" 203 0.287
"136" 204 0.2949
"137" 205 0.2963
"138" 206 0.2744
"139" 210 0.2864
"140" 211 0.2851
"141" 212 0.2766
"142" 213 0.2645
"143" 215 0.2802
"144" 221 0.3173
"145" 222 0.3127
"146" 223 0.3145
"147" 224 0.3489
"148" 225 0.3677
"149" 226 0.3537
"150" 227 0.3554
"151" 228 0.347
"152" 230 0.3662
"153" 231 0.3579
"154" 232 0.3607
"155" 233 0.3631
"156" 234 0.3656
"157" 239 0.3747
"158" 243 0.3468
"159" 244 0.3462
"160" 245 0.3285
"161" 246 0.3337
"162" 247 0.3238
"163" 248 0.3411
"164" 249 0.3198
"165" 250 0.311
"166" 251 0.3215
"167" 252 0.3002
"168" 253 0.2926
"169" 254 0.2927
"170" 255 0.2664
"171" 256 0.2706
"172" 257 0.2582
"173" 258 0.2394
"174" 263 0.2408
"175" 264 0.2208
"176" 265 0.2236
"177" 266 0.2109
"178" 267 0.2208
"179" 268 0.2231
"180" 269 0.2236
"181" 270 0.2265
"182" 271 0.2333
"183" 272 0.2455
"184" 273 0.2623
"185" 274 0.2779
"186" 275 0.273
"187" 278 0.2737
"188" 279 0.2688
"189" 280 0.2647
"190" 281 0.246
"191" 282 0.2447
"192" 283 0.2376
"193" 285 0.2306
"194" 286 0.2403
"195" 291 0.2403
"196" 295 0.245
"197" 296 0.2026
"198" 297 0.2069
"199" 299 0.2069
"200" 300 0.2116
"201" 301 0.2151
"202" 302 0.217
"203" 303 0.2183
"204" 304 0.2151
"205" 305 0.2135
"206" 306 0.2165
"207" 307 0.2099
"208" 308 0.2075
"209" 309 0.2103
"210" 310 0.2127
"211" 311 0.2165
"212" 315 0.2141
"213" 316 0.2255
"214" 317 0.2255
"215" 318 0.2232
"216" 319 0.219
"217" 320 0.2209
"218" 321 0.2231
"219" 322 0.2191
"220" 323 0.2294
"221" 324 0.2677
"222" 325 0.2632
"223" 326 0.2707
"224" 330 0.2713
"225" 331 0.2667
"226" 332 0.2712
"227" 333 0.2735
"228" 334 0.2627
"229" 335 0.2565
"230" 336 0.2543
"231" 337 0.2632
"232" 338 0.2677
"233" 339 0.2814
"234" 342 0.2768
"235" 346 0.2784
"236" 347 0.283
"237" 348 0.2853
"238" 349 0.2762
"239" 350 0.2808
"240" 351 0.259
"241" 352 0.2613
"242" 353 0.247
"243" 354 0.2583
"244" 355 0.247
"245" 356 0.236
"246" 357 0.2631
"247" 358 0.2684
"248" 359 0.2713
"249" 360 0.2549
"250" 361 0.2537
"251" 362 0.2537
"252" 366 0.2593
"253" 367 0.2649
"254" 368 0.286
"255" 369 0.2808
"256" 370 0.2843
"257" 371 0.2802
"258" 372 0.2843
"259" 373 0.2808
"260" 374 0.2845
"261" 375 0.2876
"262" 376 0.3188
"263" 377 0.2882
"264" 381 0.3072
"265" 382 0.3134
"266" 383 0.2962
"267" 384 0.3004
"268" 385 0.3026
"269" 386 0.2966
"270" 387 0.2945
"271" 388 0.3065
"272" 389 0.3097
"273" 394 0.2824
"274" 398 0.265
"275" 399 0.265
"276" 400 0.2603
"277" 401 0.263
"278" 402 0.263
"279" 403 0.2726
"280" 404 0.2603
"281" 405 0.2559
"282" 406 0.2532
"283" 407 0.2622
"284" 408 0.2703
"285" 409 0.2622
"286" 410 0.2708
"287" 411 0.2691
"288" 412 0.2755
"289" 413 0.2792
"290" 414 0.2898
"291" 418 0.3016
"292" 419 0.3288
"293" 420 0.3848
"294" 421 0.423
"295" 422 0.3973
"296" 423 0.431
"297" 424 0.431
"298" 425 0.4728
"299" 426 0.4585
"300" 427 0.4559
"301" 428 0.4581
"302" 429 0.4685
"303" 430 0.4624
"304" 434 0.4645
"305" 435 0.4604
"306" 436 0.4624
"307" 437 0.4624
"308" 438 0.4584
"309" 441 0.4604
"310" 442 0.4544
